reaction_id,reaction_type,ligand_gold,base_gold,solvent_gold,ligand_topk,base_topk,solvent_topk,ligand_hit,base_hit,solvent_hit
31-367-CAS-21822005,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822006,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822007,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822008,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822009,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822010,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822011,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822012,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822013,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822014,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822015,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822016,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822017,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
