reaction_id,reaction_type,ligand_gold,base_gold,solvent_gold,ligand_topk,base_topk,solvent_topk,ligand_hit,base_hit,solvent_hit
31-367-CAS-23663728,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23696722,Other,[],121-44-8,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23698808,Other,[],121-44-8,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23701150,Other,[],121-44-8,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23701514,Other,[],121-44-8,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23747861,Other,[],,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23747921,Other,[],,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23748721,Other,[],,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23749117,Other,[],,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23749889,Other,[],,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23753109,Other,[],,Pyridine|110-86-1,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23761770,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23762561,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23762826,Other,[],121-44-8,N-Methyl-2-pyrrolidone|872-50-4,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23860462,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23881400,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23896427,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23896526,Other,[],68957-94-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23896755,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23897128,Other,[],68957-94-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23899050,Other,[],,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23901334,Other,[],7087-68-5,Chloroform|67-66-3,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23922679,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23923283,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23963694,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-24091261,Other,[],530-62-1,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-24132213,Other,[],693-13-0,Acetone|67-64-1,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-24133668,Other,[],693-13-0,Acetonitrile|75-05-8,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-23925515,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-23938496,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-23938870,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-23939232,Other,[],2592-95-2,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-23939242,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-23939243,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-23939255,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24003995,Other,[],121-44-8,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24031232,Other,[],7087-68-5,Tetrahydrofuran|109-99-9,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24100902,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24100916,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24120096,Other,[],7647-01-0,1,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24126939,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24126943,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24128601,Other,[],,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24132347,Other,[],693-13-0,Acetonitrile|75-05-8,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24176908,Other,[],7647-01-0,1,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24250402,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24281822,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24304120,Other,[],530-62-1,Acetonitrile|75-05-8,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24357848,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24358051,Other,[],,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24358052,Other,[],,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24358057,Other,[],7087-68-5,Dimethyl sulfoxide|67-68-5,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24358105,Other,[],,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24358150,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24359763,Other,[],7087-68-5,Ethyl acetate|141-78-6,"['PPh3', 'PtBu3', 'SPhos']","['DMAP', 'Et3N', 'DIPEA']","['Acetic Acid', 'Dimethylformamide', 'N-Methyl-2-pyrrolidone']",False,False,False
31-614-CAS-24359775,Other,[],7087-68-5,Ethyl acetate|141-78-6,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24398148,Other,[],121-44-8,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24398168,Other,[],121-44-8,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24414244,Other,[],,Tetrahydrofuran|109-99-9,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24414246,Other,[],,Tetrahydrofuran|109-99-9,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24414253,Other,[],2592-95-2,Tetrahydrofuran|109-99-9,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24414256,Other,[],2592-95-2,Tetrahydrofuran|109-99-9,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24414263,Other,[],2592-95-2,Tetrahydrofuran|109-99-9,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24414274,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24414277,Other,[],2592-95-2,Tetrahydrofuran|109-99-9,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24414281,Other,[],121-44-8,Acetonitrile|75-05-8,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24414310,Other,[],109-02-4,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24494512,Other,[],79-37-8,Dichloromethane|75-09-2,"['PPh3', 'PtBu3', 'SPhos']","['DMAP', 'Et3N', 'DIPEA']","['Acetic Acid', 'Dimethylformamide', 'N-Methyl-2-pyrrolidone']",False,False,False
31-614-CAS-24495739,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24533574,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24554462,Other,[],79-37-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24558277,Other,[],7087-68-5,[],"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24558288,Other,[],7087-68-5,[],"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24558300,Other,[],7087-68-5,[],"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24719960,Other,[],121-44-8,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24719966,Other,[],121-44-8,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24775907,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24775908,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24775917,Other,[],7087-68-5,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24782806,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24782811,Other,[],530-62-1,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24782812,Other,[],530-62-1,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24782813,Other,[],530-62-1,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24782838,Other,[],530-62-1,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24840905,Other,[],,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24891371,Other,[],7087-68-5,Tetrahydrofuran|109-99-9,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-614-CAS-24900179,Other,[],110-86-1,Water|7732-18-5,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
