a,b,count,pct
cs2co3,acn,2,0.0025
triethylaminenet3,dioxane,2,0.0025
k2co3,dmac,2,0.0025
n,toluene,2,0.0025
ndimethylethylenediaminedmeda,toluene,2,0.0025
1,dmf,1,0.0013
10phenanthroline,dmf,1,0.0013
lproline,dmso,1,0.0013
k2co3,unresolvedcas96479,1,0.0013
unresolvedcas1118689,unresolvedcas96479,1,0.0013
unresolvedcas1118689,water,1,0.0013
unresolvedcas110189,dmso,1,0.0013
unresolvedcas110189,unresolvedcas96479,1,0.0013
unresolvedcas110189,water,1,0.0013
sodiumhydroxidenaoh,dmso,1,0.0013
triethylaminenet3,dce,1,0.0013
naotbu,dmso,1,0.0013
koac,dmso,1,0.0013
koac,dichloromethane,1,0.0013
triethylaminenet3,dmso,1,0.0013
n,dmf,1,0.0013
ndimethylethylenediaminedmeda,dmf,1,0.0013
unresolvedcas7447418,dmso,1,0.0013
unresolvedcas7447418,water,1,0.0013
cs2co3,unresolvedcas626959,1,0.0013
tripotassiumphosphatek3po4,unresolvedcas109864,1,0.0013
tripotassiumphosphatek3po4,thf,1,0.0013
tripotassiumphosphatek3po4,dichloromethane,1,0.0013
unresolvedcas76051,unresolvedcas109864,1,0.0013
unresolvedcas76051,thf,1,0.0013
unresolvedcas76051,dichloromethane,1,0.0013
unresolvedcas7646697,water,1,0.0013
k2co3,etoh,1,0.0013
k2co3,unresolvedcas101848,1,0.0013
unresolvedcas2857978,dioxane,1,0.0013
unresolvedcas694837,dioxane,1,0.0013
unresolvedcas7647010,dmso,1,0.0013
unresolvedcas7647010,dmf,1,0.0013
unresolvedcas29166721,unresolvedcas462066,1,0.0013
unresolvedcas29166721,acn,1,0.0013
unresolvedcas1207294914,unresolvedcas462066,1,0.0013
unresolvedcas1207294914,acn,1,0.0013
unresolvedcas110861,unresolvedcas462066,1,0.0013
unresolvedcas110861,acn,1,0.0013
unresolvedcas75851499,unresolvedcas462066,1,0.0013
unresolvedcas75851499,acn,1,0.0013
unresolvedcas2615250,dioxane,1,0.0013
k2co3,ethylacetate,1,0.0013
unresolvedcas7647010,dmac,1,0.0013
unresolvedcas7647010,ethylacetate,1,0.0013
unresolvedcas7646697,dmso,1,0.0013
sodiumchloridenacl,dmac,1,0.0013
unresolvedcas109728,unresolvedcas60297,1,0.0013
unresolvedcas109728,dmso,1,0.0013
k2co3,unresolvedcas60297,1,0.0013
cs2co3,benzene,1,0.0013
k2co3,dichloromethane,1,0.0013
unresolvedcas77929,dmso,1,0.0013
unresolvedcas77929,water,1,0.0013
unresolvedcas77929,dichloromethane,1,0.0013
unresolvedcas1122583,dmso,1,0.0013
unresolvedcas1122583,water,1,0.0013
unresolvedcas1122583,dichloromethane,1,0.0013
dipea,dmso,1,0.0013
dipea,water,1,0.0013
dipea,dichloromethane,1,0.0013
edci,dmso,1,0.0013
edci,water,1,0.0013
edci,dichloromethane,1,0.0013
triethylaminenet3,toluene,1,0.0013
oxygeno2,acn,1,0.0013
