a,b,count,pct
n13,toluene,7,0.0088
5bis1,toluene,7,0.0088
1dimethylethyl1,toluene,7,0.0088
1biphenyl2yln223,toluene,7,0.0088
1dimethylethylphenyl1naphthalenyl,toluene,7,0.0088
iodine,dce,6,0.0075
none,dmac,6,0.0075
2cyclohexanediamine,toluene,6,0.0075
10phenanthroline,toluene,5,0.0063
sodiumbis2ethylhexylsulfosuccinate,water,5,0.0063
1,thf,5,0.0063
tris2,dmso,5,0.0063
2bipyridylrutheniumiichloride,dmso,5,0.0063
transn,toluene,5,0.0063
ndimethyl1,toluene,5,0.0063
4,dioxane,4,0.005
7diphenyl1,dioxane,4,0.005
10phenanthroline,dioxane,4,0.005
2thiophenecarboxylatoo2,dioxane,4,0.005
none,unresolvedcas111466,4,0.005
iodine,dioxane,4,0.005
2,dce,4,0.005
2bipyridine,dce,4,0.005
10phenanthroline,water,4,0.005
none,meoh,4,0.005
trans1,dioxane,4,0.005
2diaminocyclohexane,dioxane,4,0.005
none,ethylacetate,3,0.0038
3,dioxane,3,0.0038
5diaza1azonia7phosphatricyclo33113,dioxane,3,0.0038
7decane,dioxane,3,0.0038
14sulfobutyl,dioxane,3,0.0038
innersalt,dioxane,3,0.0038
imidazo1,dmf,3,0.0038
5a1,dmf,3,0.0038
10phenanthrolinium,dmf,3,0.0038
102,dmf,3,0.0038
6bis1methylethylphenyl,dmf,3,0.0038
chloride11,dmf,3,0.0038
n2bis2furanylmethylethanediamide,dmso,3,0.0038
none,thf,3,0.0038
nad,water,3,0.0038
18crown6,dmf,3,0.0038
none,unresolvedcas7226235,3,0.0038
1,xylene,3,0.0038
10phenanthroline,xylene,3,0.0038
10phenanthroline,thf,3,0.0038
polyoxyethylenesorbitanmonooleate,water,2,0.0025
n,dioxane,2,0.0025
ndimethylethylenediamine,dioxane,2,0.0025
4,ethylacetate,2,0.0025
7diphenyl1,ethylacetate,2,0.0025
10phenanthroline,ethylacetate,2,0.0025
n,unresolvedcas95501,2,0.0025
ntetramethylethylenediamine,unresolvedcas95501,2,0.0025
none,unresolvedcas110861,2,0.0025
1,dmac,2,0.0025
2benzenediamine,dmac,2,0.0025
n13,dmac,2,0.0025
5bis1,dmac,2,0.0025
1dimethylethyl1,dmac,2,0.0025
1biphenyl2yln223,dmac,2,0.0025
1dimethylethylphenyl1naphthalenyl,dmac,2,0.0025
2benzenediamine,thf,2,0.0025
n13,thf,2,0.0025
5bis1,thf,2,0.0025
1dimethylethyl1,thf,2,0.0025
1biphenyl2yln223,thf,2,0.0025
1dimethylethylphenyl1naphthalenyl,thf,2,0.0025
pyridine,dmf,2,0.0025
1,dme,2,0.0025
10phenanthroline,dme,2,0.0025
2,dmf,2,0.0025
5diphenylphosphino2thiazolamine,acn,2,0.0025
trispentafluorophenylborane,dioxane,2,0.0025
pPh3,dioxane,2,0.0025
6,water,2,0.0025
2,toluene,2,0.0025
none,unresolvedcas95476,2,0.0025
trans1,toluene,2,0.0025
2,dioxane,1,0.0013
3butanediamine,dioxane,1,0.0013
none,unresolvedcas96479,1,0.0013
n,dmso,1,0.0013
ndimethylglycine,dmso,1,0.0013
none,dce,1,0.0013
lhydroxyproline,dmso,1,0.0013
n,water,1,0.0013
ndimethylethylenediamine,water,1,0.0013
4dimethylaminopyridine,dmso,1,0.0013
4dimethylaminopyridine,dichloromethane,1,0.0013
iron,toluene,1,0.0013
nonacarbonyldi3selenoxotri,toluene,1,0.0013
2fefe,toluene,1,0.0013
n11,dmso,1,0.0013
1biphenyl2yln22phenyl1naphthalenyl,dmso,1,0.0013
4bis1,dioxane,1,0.0013
1dimethylethyl2,dioxane,1,0.0013
2bipyridinen1,dioxane,1,0.0013
n1bis5fluoro25methyl2pyridinylnphenylc,dioxane,1,0.0013
oc633,dioxane,1,0.0013
hexafluorophosphate111,dioxane,1,0.0013
2999684181,dmf,1,0.0013
2999684169,dmf,1,0.0013
n2,dmf,1,0.0013
n6bis12,dmf,1,0.0013
3,dmf,1,0.0013
4,dmf,1,0.0013
3triazol4ylmethyl2,dmf,1,0.0013
6pyridinedicarboxamide,dmf,1,0.0013
10phenanthroline,dmso,1,0.0013
none,unresolvedcas626959,1,0.0013
2,unresolvedcas109864,1,0.0013
2,thf,1,0.0013
2,dichloromethane,1,0.0013
2dimethylhydrazide,unresolvedcas109864,1,0.0013
2dimethylhydrazide,thf,1,0.0013
2dimethylhydrazide,dichloromethane,1,0.0013
transn,dmf,1,0.0013
ndimethyl1,dmf,1,0.0013
2cyclohexanediamine,dmf,1,0.0013
sodiumascorbate,dmf,1,0.0013
sodiumascorbate,water,1,0.0013
none,etoh,1,0.0013
18crown6,unresolvedcas101848,1,0.0013
2,water,1,0.0013
6,dmf,1,0.0013
6tetramethyl3,dmf,1,0.0013
6tetramethyl3,water,1,0.0013
5heptanedione,dmf,1,0.0013
5heptanedione,water,1,0.0013
4,unresolvedcas462066,1,0.0013
7dimethoxy1,unresolvedcas462066,1,0.0013
7dimethoxy1,acn,1,0.0013
10phenanthroline,unresolvedcas462066,1,0.0013
10phenanthroline,acn,1,0.0013
4bis1,unresolvedcas462066,1,0.0013
1dimethylethyl2,unresolvedcas462066,1,0.0013
2bipyridinen1,unresolvedcas462066,1,0.0013
n1bis5fluoro25methyl2pyridinylnphenylc,unresolvedcas462066,1,0.0013
n1bis5fluoro25methyl2pyridinylnphenylc,acn,1,0.0013
oc633,unresolvedcas462066,1,0.0013
hexafluorophosphate111,unresolvedcas462066,1,0.0013
6,toluene,1,0.0013
6tetramethyl3,toluene,1,0.0013
5heptanedione,toluene,1,0.0013
monohydrate,dmf,1,0.0013
none,unresolvedcas60297,1,0.0013
8quinolinesulfonamide,benzene,1,0.0013
n1s,benzene,1,0.0013
2s2dimethylaminocyclohexyl,benzene,1,0.0013
l-proline,water,1,0.0013
l-proline,dichloromethane,1,0.0013
n1,toluene,1,0.0013
n2dimethyl1,toluene,1,0.0013
2diaminocyclohexane,dmso,1,0.0013
dimethylethylamine,dmf,1,0.0013
ntetramethylethylenediamine,toluene,1,0.0013
4,water,1,0.0013
7dimethoxy1,water,1,0.0013
2,acn,1,0.0013
21r,acn,1,0.0013
21r,toluene,1,0.0013
2r1,acn,1,0.0013
2r1,toluene,1,0.0013
2cyclohexanediylbisnitrilonmethylidynebis4,acn,1,0.0013
2cyclohexanediylbisnitrilonmethylidynebis4,toluene,1,0.0013
6bis1,acn,1,0.0013
6bis1,toluene,1,0.0013
1dimethylethylphenolatoo2cobalt,acn,1,0.0013
1dimethylethylphenolatoo2cobalt,toluene,1,0.0013
picolinicacid,dmf,1,0.0013
