a,b,count,pct
none,dmf,75,0.0939
none,dmso,69,0.0864
1,dmso,68,0.0851
2benzenediamine,dmso,66,0.0826
l-proline,dmso,53,0.0663
none,acn,38,0.0476
none,toluene,37,0.0463
n,toluene,37,0.0463
n13,dmso,37,0.0463
5bis1,dmso,37,0.0463
1dimethylethyl1,dmso,37,0.0463
1biphenyl2yln223,dmso,37,0.0463
1dimethylethylphenyl1naphthalenyl,dmso,37,0.0463
ndimethylethylenediamine,toluene,36,0.0451
2cyclohexanediamine,dioxane,36,0.0451
none,unresolvedcas25322683,32,0.0401
1,dmf,31,0.0388
n1,dmso,31,0.0388
n2bis2phenyl1naphthalenyl,dmso,28,0.035
2999684170,dmf,26,0.0325
10phenanthroline,dmf,23,0.0288
r,dmso,23,0.0288
rn,dmso,23,0.0288
ndimethyl1,dmso,23,0.0288
2cyclohexanediamine,dmso,23,0.0288
1,toluene,21,0.0263
1s,dioxane,21,0.0263
2sn1,dioxane,21,0.0263
n2dimethyl1,dioxane,21,0.0263
none,isopropanol,19,0.0238
none,dioxane,18,0.0225
3,water,18,0.0225
5diaza1azonia7phosphatricyclo33113,water,18,0.0225
7decane,water,18,0.0225
14sulfobutyl,water,18,0.0225
innersalt,water,18,0.0225
none,unresolvedcas107211,16,0.02
transn,dioxane,15,0.0188
ndimethyl1,dioxane,15,0.0188
polyaniline,dmso,14,0.0175
4,acn,13,0.0163
4bis1,acn,13,0.0163
1dimethylethyl2,acn,13,0.0163
2bipyridinen1,acn,13,0.0163
oc633,acn,13,0.0163
hexafluorophosphate111,acn,13,0.0163
n1bis22pyridinylnphenylc,acn,12,0.015
guargum,dmf,12,0.015
1,water,11,0.0138
2diaminocyclohexane,toluene,11,0.0138
kanamycina,water,11,0.0138
18crown6,unresolvedcas95501,10,0.0125
none,water,9,0.0113
tris2,dce,9,0.0113
2bipyridylrutheniumiichloride,dce,9,0.0113
1,pxylene,8,0.01
2diaminocyclohexane,pxylene,8,0.01
2diaminocyclohexane,water,8,0.01
2diaminocyclohexane,dmf,8,0.01
none,dichloromethane,8,0.01
none,unresolvedcas108383,7,0.0088
none,unresolvedcas920661,7,0.0088
2benzenediamine,toluene,7,0.0088
