reaction_name
A3 coupling
A3 coupling to imidazoles
Acetal hydrolysis to aldehyde
Acetal hydrolysis to diol
Ackermann Reaction
Acyl bromides from alcohols
Acyl chloride with ammonia to amide
Acyl chloride with primary amine to amide (Schotten-Baumann)
Acyl chloride with primary amine to imide
Acyl chloride with secondary amine to amide
Acyl chlorides from alcohols
Acyl iodides from alcohols
Acylation of Nitrogen Nucleophiles by Acyl/Thioacyl/Carbamoyl Halides and Analogs_N
Acylation of Nitrogen Nucleophiles by Acyl/Thioacyl/Carbamoyl Halides and Analogs_OS
Acylation of Nitrogen Nucleophiles by Carboxylic Acids
Acylation of olefines by aldehydes
Acylation of primary amines
Acylation of secondary amines
Acylation of secondary amines with anhydrides
Addition of primary amines to aldehydes/thiocarbonyls
Addition of primary amines to ketones/thiocarbonyls
Addition of secondary amines to aldehydes/thiocarbonyls
Addition of secondary amines to ketones/thiocarbonyls
Aerobic oxidation of Grignard reagents
Alcohol deprotection from silyl ethers
Alcohol deprotection from silyl ethers (diol)
Alcohol deprotection from silyl ethers (double)
Alcohol protection with silyl ethers
Alcohol to azide
Alcohol to bromide with HBr
Alcohol to bromide with NBS
Alcohol to chloride_CH2Cl2
Alcohol to chloride_CHCl3
Alcohol to chloride_HCl
Alcohol to chloride_Other
Alcohol to chloride_PCl5_ortho
Alcohol to chloride_POCl3
Alcohol to chloride_POCl3_ortho
Alcohol to chloride_POCl3_para
Alcohol to chloride_SOCl2
Alcohol to chloride_Salt
Alcohol to chloride_sulfonyl chloride
Alcohol to ether
Alcohol to iodide
Aldehyde or ketone acetalization
Aldol condensation
Alkene oxidation to aldehyde
Alkene to diol
Alkyl bromides from alcohols
Alkyl chlorides from alcohols
Alkyl iodides from alcohols
Alkylation of amines
Alkyne-imine cycloaddition
Aminolysis of esters
Arene hydrogenation
Arens-van Dorp Synthesis
Aromatic bromination
Aromatic chlorination
Aromatic dehalogenation
Aromatic fluorination
Aromatic hydroxylation
Aromatic iodination
Aromatic nitration with HNO3
Aromatic nitration with NO2 salt
Aromatic nitration with NO3 salt
Aromatic nitration with alkyl NO2
Aromatic substitution of bromine by chlorine
Aryl halide to carboxylic acid
Aryllithium cross-coupling
"Asymmetric ketones from N,N-dimethylamides"
Azide to amine reduction (Staudinger)
Azide-nitrile click cycloaddition to tetrazole
Azide-nitrile click cycloaddition to triazole
Benzimidazole aldehyde
Benzimidazole formation from acyl halide
Benzimidazole formation from aldehyde
Benzimidazole formation from ester/carboxylic acid
Benzothiazole formation from acyl halide
Benzothiazole formation from aldehyde
Benzothiazole formation from ester/carboxylic acid
Benzoxazole formation (intramolecular)
Benzoxazole formation from acyl halide
Benzoxazole formation from aldehyde
Benzoxazole formation from ester/carboxylic acid
Boc amine deprotection
Boc amine deprotection of guanidine
Boc amine deprotection to NH-NH2
Boc amine protection
Boc amine protection (ethyl Boc)
Boc amine protection explicit
Boc amine protection of primary amine
Boc amine protection of secondary amine
Boc amine protection with Boc anhydride
Bromination
Buchwald-Hartwig/Ullmann-Goldberg/N-arylation primary amine
Buchwald-Hartwig/Ullmann-Goldberg/N-arylation secondary amine
C-methylation
COOH ethyl deprotection
Carbonylation with aryl formates
Carboxyl benzyl deprotection
Carboxylic acid from Li and CO2
Carboxylic acid with primary amine to amide
Catellani reaction ortho
Catellani reaction para
Chan-Lam alcohol
Chan-Lam amine
Chlorination
Cleavage of alkoxy ethers to alcohols
Cleavage of methoxy ethers to alcohols
Cleavage of sulfons and sulfoxides
Clemmensen aldehyde reduction
Clemmensen ketone reduction
DMS Amine methylation
DMS COOH methylation
Deboronation of boronic acids
Deboronation of boronic esters
Decarboxylation
Dehalogenation
Dehydration of amides to nitriles
Deprotection of carboxylic acid
Derived alcohol via homologation of aldehydes with formaldehyde
Derived benzimidazole via homologation of aldehydes with formaldehyde
Deselenization
Diazo addition
Diels-Alder
Diels-Alder (ON bond)
"Difluoroalkylation-Induced 1, 2-Heteroarene Migration of Allylic Alcohols"
Diol acetalization
Directed ortho metalation of arenes
Displacement of ethoxy group by primary amine
Displacement of ethoxy group by secondary amine
Eschweiler-Clarke Primary Amine Methylation
Eschweiler-Clarke Secondary Amine Methylation
Ester and halide to ketone
Ester saponification (alkyl deprotection)
Ester saponification (methyl deprotection)
Ester with ammonia to amide
Ester with primary amine to amide
Ester with secondary amine to amide
Esterification of Carboxylic Acids
Esterification of hydrazones
Ether cleavage to primary alcohol
Finkelstein reaction
Fluorination
Formation of Azides from boronic acids
Formation of Azides from halogens
Formation of Grignard reagents
Formation of NOS Heterocycles
Formation of Sulfonic Esters
Formation of Sulfonic Esters on TMS protected alcohol
Friedel-Crafts acylation
Friedel-Crafts alkylation
Friedel-Crafts alkylation with halide
Goldberg coupling
Goldberg coupling aryl amide-aryl chloride
Goldberg coupling aryl amine-aryl chloride
Grignard from aldehyde to alcohol
Grignard from ketone to alcohol
Grignard from nitrile to ketone
Grignard with CO2 to carboxylic acid
Halide to nitrile conversion
Halodeboronation of boronic acids
Halodeboronation of boronic esters
Heck reaction with vinyl ester and amine
Heck terminal vinyl
Henry Reaction
Hiyama-Denmark Coupling
Homologation of aldehydes with formaldehyde
Homologation of diazo compounds to alcohols using formaldehyde 
Homologation of diazo compounds to aldehydes using formaldehyde 
"Huisgen 1,3 dipolar cycloaddition"
"Huisgen 1,3,4-oxadiazoles from COOH and tetrazole"
"Huisgen alkene-azide 1,3 dipolar cycloaddition"
"Huisgen alkyne-azide 1,3 dipolar cycloaddition"
Hurtley reaction
Hydration of alkyne to aldehyde
Hydration of alkyne to ketone
Hydrazone oxidation to diazoalkane
Hydroarylation of alkynes with boronic acids
Hydrogenation (double to single)
Hydrogenation (triple to double)
Hydrogenolysis of amides/imides/carbamates
Hydrogenolysis of tertiary amines
Hydrolysis of amides/imides/carbamates
Hydrolysis or Hydrogenolysis of Carboxylic Esters or Thioesters
Hydroxamic Synthesis
Hydroxyl benzyl deprotection
Intramolecular amination (heterocycle formation)
